"",name,current_club_name,country_of_citizenship,position,sub_position,market_value_in_eur,contract_expiration_date,current_club_domestic_competition_id,overall_score,potential_score,Height,Weight,Age,preferred_foot,ball_skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
0,Lenny Joseph,Fc Metz,France,Attack,Centre-Forward,400000.0,2024-06-30,FR1,64,73,183,73,22,Right,60.0,15.0,45.166667,51.000000,67.142857,59.125,10.8
1,Mamadou Camara,Es Troyes Ac,France,Attack,Centre-Forward,400000.0,2025-06-30,FR1,61,70,186,71,22,Right,62.0,22.0,40.666667,48.666667,61.714286,55.375,10.6
2,Mamadou Camara,Es Troyes Ac,France,Attack,Centre-Forward,400000.0,2025-06-30,FR1,60,70,185,75,20,Left,62.0,56.5,56.666667,57.666667,50.000000,42.000,8.6
3,Mamadou Camara,Rc Lens,Senegal,Midfield,Central Midfield,250000.0,2024-06-30,FR1,61,70,186,71,22,Right,62.0,22.0,40.666667,48.666667,61.714286,55.375,10.6
4,Mamadou Camara,Rc Lens,Senegal,Midfield,Central Midfield,250000.0,2024-06-30,FR1,60,70,185,75,20,Left,62.0,56.5,56.666667,57.666667,50.000000,42.000,8.6
5,Robin Kehr,Spvgg Greuther Furth,Germany,Attack,Centre-Forward,100000.0,2023-06-30,L1,63,75,189,81,23,Left,62.5,24.0,43.666667,54.666667,70.857143,52.375,11.0
7,Yohann Thuram,Ionikos Nikeas,Brazil,Attack,Centre-Forward,325000.0,2023-06-30,GR1,64,64,187,85,34,Right,12.0,13.0,35.166667,26.000000,53.142857,20.000,61.6
8,Benjamin Tetteh,Yeni Malatyaspor,Ghana,Attack,Centre-Forward,2000000.0,2024-06-30,TR1,72,76,193,91,25,Right,72.5,25.5,59.833333,58.333333,71.571429,61.750,9.4
9,Stevie Mallan,Yeni Malatyaspor,Scotland,Midfield,Central Midfield,500000.0,2024-06-30,TR1,64,65,178,69,26,Right,63.5,60.5,61.333333,66.333333,67.857143,63.500,8.0
10,Didier Ndong,Yeni Malatyaspor,Gabon,Midfield,Central Midfield,1500000.0,2023-06-30,TR1,69,70,179,75,28,Right,65.0,63.0,67.000000,67.333333,74.428571,59.125,12.2
11,Gaston Campi,Yeni Malatyaspor,Argentina,Defender,Centre-Back,375000.0,2023-12-31,TR1,68,68,193,83,31,Left,65.5,68.0,65.000000,61.333333,47.142857,49.625,10.2
12,Oussama Haddadi,Yeni Malatyaspor,Tunisia,Defender,Centre-Back,800000.0,2024-06-30,TR1,68,68,185,76,31,Left,62.0,69.0,63.833333,62.666667,67.142857,45.250,9.8
13,Wallace,Yeni Malatyaspor,Brazil,Defender,Centre-Back,1000000.0,2023-12-31,TR1,73,75,191,85,28,Right,48.5,71.0,58.000000,47.666667,63.571429,38.250,11.6
14,Rey Manaj,Spezia Calcio,Albania,Attack,Centre-Forward,1500000.0,2025-06-30,IT1,72,76,182,76,26,Right,72.0,17.5,56.000000,52.333333,67.714286,65.000,9.4
15,Eddie Salcedo,Spezia Calcio,Italy,Attack,Centre-Forward,2700000.0,2023-06-30,IT1,68,79,178,74,21,Right,77.5,33.5,52.666667,61.333333,71.000000,58.625,9.4
16,Janis Antiste,Spezia Calcio,France,Attack,Centre-Forward,4000000.0,2023-06-30,IT1,68,79,182,77,20,Right,70.0,14.5,48.000000,47.666667,69.285714,62.375,11.8
17,David Strelec,Spezia Calcio,Slovakia,Attack,Centre-Forward,1300000.0,2026-06-30,IT1,64,72,185,75,21,Left,64.5,30.0,53.666667,51.333333,56.714286,57.375,9.6
18,Aurelien Nguiamba,Spezia Calcio,France,Midfield,Defensive Midfield,300000.0,2024-06-30,IT1,64,71,179,73,24,Left,62.0,58.5,61.833333,59.666667,67.571429,45.500,10.4
19,Luca Vignali,Spezia Calcio,Italy,Defender,Right-Back,1000000.0,2025-06-30,IT1,69,70,186,75,27,Right,65.0,64.5,61.666667,63.666667,68.857143,57.625,9.6
20,Petko Hristov,Spezia Calcio,Bulgaria,Defender,Centre-Back,1000000.0,2025-06-30,IT1,67,75,191,85,24,Right,38.0,71.5,54.666667,41.000000,51.428571,39.125,9.4
