#,"",Player,Overall Score,Potential Score,Height,Weight,Age,Preferred Foot,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
1,0,Rodri,87,89,191,82,26,Right,81.5,82.0,81.666667,77.333333,70.000000,68.250,9.8
2,1,Neymar Jr,89,89,175,68,31,Right,94.5,30.5,76.166667,83.000000,77.428571,82.250,11.8
3,2,Karim Benzema,91,91,185,81,35,Right,89.0,21.0,77.500000,80.000000,78.857143,84.500,8.2
4,3,Jan Oblak,89,90,188,87,30,Right,21.0,16.0,48.666667,32.000000,57.714286,18.500,86.2
5,4,Casemiro,89,89,185,84,31,Right,74.5,87.5,84.166667,76.666667,73.714286,73.875,13.4
6,5,Marc-André ter Stegen,88,89,187,85,30,Right,25.5,11.5,50.166667,47.333333,52.714286,21.125,86.6
7,6,Frenkie de Jong,87,92,180,74,25,Right,88.0,76.5,83.166667,86.000000,81.142857,68.625,9.8
8,7,Robert Lewandowski,91,91,185,81,34,Right,87.0,30.5,81.000000,75.000000,79.714286,87.875,10.2
9,8,Gianluigi Donnarumma,88,92,196,90,24,Right,29.0,15.0,46.666667,27.333333,55.000000,19.875,85.2
10,9,Thibaut Courtois,90,91,199,96,30,Left,18.0,17.0,40.833333,27.333333,54.000000,22.250,85.4
11,10,Luka Modrić,88,88,172,66,37,Right,87.5,73.5,81.666667,89.666667,76.714286,76.250,10.4
12,11,Mohamed Salah,89,89,175,71,30,Left,87.0,42.0,79.166667,80.333333,84.285714,79.875,12.4
13,12,Sadio Mané,89,89,174,69,30,Right,87.0,40.0,76.500000,77.666667,86.000000,77.625,11.2
14,13,Kylian Mbappé,91,95,182,73,24,Right,92.0,33.0,76.333333,78.000000,86.857143,81.375,8.4
15,14,Alisson,89,90,193,91,30,Right,33.5,17.5,45.000000,45.000000,49.428571,25.000,87.0
16,15,Ederson,89,91,188,86,29,Left,31.5,11.5,52.166667,48.666667,60.000000,27.375,87.2
17,16,Erling Haaland,89,94,195,94,22,Left,80.0,41.0,78.333333,58.000000,82.000000,82.625,10.4
18,17,Harry Kane,89,89,188,89,29,Right,84.5,37.0,81.500000,83.333333,74.714286,85.250,10.8
