"",player_id,name,current_club_id,current_club_name,country_of_citizenship,country_of_birth,city_of_birth,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,agent_name,contract_expiration_date,current_club_domestic_competition_id,first_name,last_name,player_code,image_url,last_season,url,#,Unnamed: 1,Overall Score,Potential Score,Height,Weight,Age,Preferred Foot,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
0,815359,Lenny Joseph,347,Fc Metz,France,France,Paris,2000-10-12,Attack,Centre-Forward,Right,183,400000.0,500000.0,NaN,2024-06-30,FR1,Lenny,Joseph,lenny-joseph,https://img.a.transfermarkt.technology/portrait/header/815359-1653404408.jpg?lm=1,2021,https://www.transfermarkt.co.uk/lenny-joseph/profil/spieler/815359,10763,10762,64,73,183,73,22,Right,60.0,15.0,45.166667,51.000000,67.142857,59.125,10.8
1,857148,Mamadou Camara,1095,Es Troyes Ac,France,France,Aubervilliers,2001-02-07,Attack,Centre-Forward,Right,184,400000.0,400000.0,AIS SPORT SERVICE,2025-06-30,FR1,Mamadou,Camara,mamadou-camara,https://img.a.transfermarkt.technology/portrait/header/857148-1669738288.jpg?lm=1,2021,https://www.transfermarkt.co.uk/mamadou-camara/profil/spieler/857148,13982,13981,61,70,186,71,22,Right,62.0,22.0,40.666667,48.666667,61.714286,55.375,10.6
2,857148,Mamadou Camara,1095,Es Troyes Ac,France,France,Aubervilliers,2001-02-07,Attack,Centre-Forward,Right,184,400000.0,400000.0,AIS SPORT SERVICE,2025-06-30,FR1,Mamadou,Camara,mamadou-camara,https://img.a.transfermarkt.technology/portrait/header/857148-1669738288.jpg?lm=1,2021,https://www.transfermarkt.co.uk/mamadou-camara/profil/spieler/857148,14747,14746,60,70,185,75,20,Left,62.0,56.5,56.666667,57.666667,50.000000,42.000,8.6
3,905408,Mamadou Camara,826,Rc Lens,Senegal,Senegal,Dakar,2002-10-15,Midfield,Central Midfield,Left,185,250000.0,250000.0,NaN,2024-06-30,FR1,Mamadou,Camara,mamadou-camara,https://img.a.transfermarkt.technology/portrait/header/905408-1653404128.jpg?lm=1,2022,https://www.transfermarkt.co.uk/mamadou-camara/profil/spieler/905408,13982,13981,61,70,186,71,22,Right,62.0,22.0,40.666667,48.666667,61.714286,55.375,10.6
4,905408,Mamadou Camara,826,Rc Lens,Senegal,Senegal,Dakar,2002-10-15,Midfield,Central Midfield,Left,185,250000.0,250000.0,NaN,2024-06-30,FR1,Mamadou,Camara,mamadou-camara,https://img.a.transfermarkt.technology/portrait/header/905408-1653404128.jpg?lm=1,2022,https://www.transfermarkt.co.uk/mamadou-camara/profil/spieler/905408,14747,14746,60,70,185,75,20,Left,62.0,56.5,56.666667,57.666667,50.000000,42.000,8.6
5,334998,Robin Kehr,65,Spvgg Greuther Furth,Germany,Germany,Pinneberg,2000-02-22,Attack,Centre-Forward,Left,189,100000.0,150000.0,Wasserman,2023-06-30,L1,Robin,Kehr,robin-kehr,https://img.a.transfermarkt.technology/portrait/header/334998-1665133700.jpg?lm=1,2021,https://www.transfermarkt.co.uk/robin-kehr/profil/spieler/334998,12332,12331,63,75,189,81,23,Left,62.5,24.0,43.666667,54.666667,70.857143,52.375,11.0
6,648579,Adama Fofana,443,Vejle Boldklub,Cote d'Ivoire,Cote d'Ivoire,Abobo,2001-01-04,Attack,Right Winger,Right,180,200000.0,200000.0,Global Soccer Management,NaN,DK1,Adama,Fofana,adama-fofana,https://img.a.transfermarkt.technology/portrait/header/648579-1597008016.jpg?lm=1,2021,https://www.transfermarkt.co.uk/adama-fofana/profil/spieler/648579,12202,12201,63,70,173,63,23,Left,62.0,61.0,55.000000,54.333333,71.714286,43.000,7.8
7,258618,Yohann Thuram,553,Ionikos Nikeas,Brazil,Brazil,Cairu,1991-02-01,Attack,Centre-Forward,Right,183,325000.0,700000.0,Think Ball & Sports Consulting,2023-06-30,GR1,NaN,Yohann Thuram,thuram,https://img.a.transfermarkt.technology/portrait/header/258618-1656188047.jpeg?lm=1,2021,https://www.transfermarkt.co.uk/thuram/profil/spieler/258618,11646,11645,64,64,187,85,34,Right,12.0,13.0,35.166667,26.000000,53.142857,20.000,61.6
8,306382,Benjamin Tetteh,19789,Yeni Malatyaspor,Ghana,Ghana,Accra,1997-07-10,Attack,Centre-Forward,Right,193,2000000.0,4500000.0,SPOCS Global Sports,2024-06-30,TR1,Benjamin,Tetteh,benjamin-tetteh,https://img.a.transfermarkt.technology/portrait/header/306382-1629970631.png?lm=1,2021,https://www.transfermarkt.co.uk/benjamin-tetteh/profil/spieler/306382,3265,3264,72,76,193,91,25,Right,72.5,25.5,59.833333,58.333333,71.571429,61.750,9.4
9,331089,Stevie Mallan,19789,Yeni Malatyaspor,Scotland,Scotland,Glasgow,1996-03-25,Midfield,Central Midfield,Right,180,500000.0,850000.0,CAA Stellar,2024-06-30,TR1,Stevie,Mallan,stevie-mallan,https://img.a.transfermarkt.technology/portrait/header/331089-1629974566.png?lm=1,2021,https://www.transfermarkt.co.uk/stevie-mallan/profil/spieler/331089,11375,11374,64,65,178,69,26,Right,63.5,60.5,61.333333,66.333333,67.857143,63.500,8.0
